type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-12-09 07:14:37,40.96674500,-8.54807000,1.80,207.800,,0.000,,25,44,20221209-071437,GPS Logger: 20221209-071437 - Casa-Estacao
T,2022-12-09 07:14:38,40.96674500,-8.54807000,1.80,207.800,,0.000,,25,44,,
T,2022-12-09 07:14:39,40.96674500,-8.54806000,1.80,208.800,,0.000,,24,44,,
T,2022-12-09 07:14:40,40.96674833,-8.54806500,1.90,209.000,,0.155,302,20,44,,
T,2022-12-09 07:14:41,40.96675000,-8.54809333,1.90,209.100,,0.496,275,23,44,,
T,2022-12-09 07:14:42,40.96675500,-8.54814500,2.00,208.800,,4.709,276,23,44,,
T,2022-12-09 07:14:43,40.96676833,-8.54821167,2.20,208.800,,5.273,280,23,44,,
T,2022-12-09 07:14:44,40.96676833,-8.54821167,2.20,208.800,,6.140,282,24,44,,
T,2022-12-09 07:14:45,40.96679667,-8.54838000,2.30,209.700,,6.984,284,23,44,,
T,2022-12-09 07:14:46,40.96681667,-8.54851667,2.40,209.300,,10.291,280,23,44,,
T,2022-12-09 07:14:47,40.96683833,-8.54866167,2.20,209.700,,10.955,282,24,44,,
T,2022-12-09 07:14:48,40.96686167,-8.54880333,2.10,209.700,,11.709,284,24,44,,
T,2022-12-09 07:14:49,40.96689000,-8.54894833,2.00,209.100,,12.498,284,24,44,,
T,2022-12-09 07:14:50,40.96691833,-8.54909667,1.90,208.300,,12.789,284,26,44,,
T,2022-12-09 07:14:51,40.96695167,-8.54923833,1.90,207.100,,12.020,287,26,44,,
T,2022-12-09 07:14:52,40.96699000,-8.54936333,1.80,206.500,,11.188,294,26,44,,
T,2022-12-09 07:14:53,40.96703500,-8.54947833,1.80,206.200,,10.497,304,26,44,,
T,2022-12-09 07:14:54,40.96710000,-8.54957667,1.80,205.700,,11.051,317,25,44,,
T,2022-12-09 07:14:55,40.96718333,-8.54965667,1.80,205.000,,11.148,326,28,44,,
T,2022-12-09 07:14:56,40.96727833,-8.54971333,1.80,203.100,,11.763,337,28,44,,
