type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-12-09 13:04:41,40.96200167,-8.63526167,1.80,10.900,,1.635,41,26,41,20221209-130441,GPS Logger: 20221209-130441 - Estacao-feira-casa
T,2022-12-09 13:04:42,40.96200667,-8.63525667,1.80,11.100,,1.498,62,26,41,,
T,2022-12-09 13:04:43,40.96200667,-8.63525333,1.80,11.400,,1.256,16,27,41,,
T,2022-12-09 13:04:44,40.96200833,-8.63525667,1.70,11.300,,1.003,27,27,41,,
T,2022-12-09 13:04:45,40.96200833,-8.63525667,1.70,11.300,,0.747,348,27,41,,
T,2022-12-09 13:04:46,40.96201833,-8.63526333,1.70,10.900,,0.593,348,27,41,,
T,2022-12-09 13:04:47,40.96202667,-8.63526333,1.80,10.900,,0.593,5,27,41,,
T,2022-12-09 13:04:48,40.96205500,-8.63525833,1.90,11.300,,0.809,2,27,41,,
T,2022-12-09 13:04:49,40.96210333,-8.63526000,1.90,11.700,,4.849,359,26,41,,
T,2022-12-09 13:04:50,40.96216167,-8.63526333,1.90,11.700,,6.219,358,26,41,,
T,2022-12-09 13:04:51,40.96222333,-8.63526667,2.20,12.200,,6.627,359,26,41,,
T,2022-12-09 13:04:52,40.96229333,-8.63527000,2.40,12.200,,7.436,358,27,41,,
T,2022-12-09 13:04:53,40.96237667,-8.63527000,2.00,12.000,,7.552,1,27,41,,
T,2022-12-09 13:04:54,40.96244333,-8.63525667,1.80,12.100,,7.544,8,26,41,,
T,2022-12-09 13:04:55,40.96251167,-8.63523833,1.70,12.000,,7.628,9,26,41,,
T,2022-12-09 13:04:56,40.96258000,-8.63522167,1.60,11.700,,6.958,6,26,41,,
T,2022-12-09 13:04:57,40.96263500,-8.63521500,1.60,11.500,,5.083,3,26,41,,
T,2022-12-09 13:04:58,40.96266667,-8.63521500,1.60,11.500,,2.637,1,25,41,,
T,2022-12-09 13:04:59,40.96267667,-8.63521667,1.70,11.400,,0.000,,25,41,,
T,2022-12-09 13:05:00,40.96268000,-8.63522167,1.70,11.800,,0.000,,25,41,,
T,2022-12-09 13:05:01,40.96268667,-8.63522333,1.60,11.900,,0.000,,25,41,,
T,2022-12-09 13:05:02,40.96268667,-8.63522333,1.60,11.900,,0.000,,26,41,,
T,2022-12-09 13:05:03,40.96268667,-8.63522333,1.60,11.900,,0.000,,24,41,,
T,2022-12-09 13:05:04,40.96268667,-8.63522333,1.60,11.900,,0.000,,24,41,,
T,2022-12-09 13:05:05,40.96270833,-8.63519667,1.60,11.900,,2.166,65,24,41,,
T,2022-12-09 13:05:06,40.96271000,-8.63517167,1.60,11.900,,2.020,92,26,41,,
T,2022-12-09 13:05:07,40.96270000,-8.63514667,1.70,11.700,,1.792,128,25,41,,
T,2022-12-09 13:05:08,40.96267833,-8.63512833,1.70,11.800,,2.487,158,26,41,,
T,2022-12-09 13:05:09,40.96264167,-8.63511500,1.90,11.700,,3.772,169,26,41,,
T,2022-12-09 13:05:10,40.96259167,-8.63510667,2.00,11.500,,5.388,173,26,41,,
T,2022-12-09 13:05:11,40.96252500,-8.63510667,2.00,10.900,,7.053,179,26,41,,
T,2022-12-09 13:05:12,40.96244167,-8.63509833,1.90,10.300,,8.761,178,26,41,,
T,2022-12-09 13:05:13,40.96235167,-8.63509167,1.90,9.600,,10.041,177,26,41,,
T,2022-12-09 13:05:14,40.96225667,-8.63508500,1.90,9.200,,10.385,177,26,41,,
T,2022-12-09 13:05:15,40.96215833,-8.63508167,1.80,9.000,,10.772,177,25,41,,
T,2022-12-09 13:05:16,40.96205667,-8.63507333,1.80,8.800,,11.290,176,25,41,,
T,2022-12-09 13:05:17,40.96195333,-8.63506167,1.70,8.300,,11.859,176,24,41,,
T,2022-12-09 13:05:18,40.96184333,-8.63505000,1.70,8.300,,11.886,177,25,41,,
T,2022-12-09 13:05:19,40.96173167,-8.63504167,1.70,8.600,,11.747,177,24,41,,
T,2022-12-09 13:05:20,40.96162000,-8.63503500,1.60,8.900,,11.660,177,24,41,,
T,2022-12-09 13:05:21,40.96151000,-8.63502833,1.60,8.800,,11.751,176,26,41,,
T,2022-12-09 13:05:22,40.96140333,-8.63501500,1.60,8.800,,11.560,176,26,41,,
T,2022-12-09 13:05:23,40.96129667,-8.63500333,1.60,9.100,,11.317,174,24,41,,
T,2022-12-09 13:05:24,40.96119167,-8.63499000,1.60,9.200,,11.152,175,24,41,,
T,2022-12-09 13:05:25,40.96109333,-8.63497667,1.60,9.800,,10.181,175,24,41,,
T,2022-12-09 13:05:26,40.96101000,-8.63496333,1.60,9.900,,8.110,175,26,41,,
T,2022-12-09 13:05:27,40.96094500,-8.63495667,1.60,9.900,,6.631,176,25,41,,
T,2022-12-09 13:05:28,40.96090667,-8.63494833,1.70,10.100,,4.282,173,25,41,,
T,2022-12-09 13:05:29,40.96088333,-8.63494000,1.70,10.400,,3.410,174,25,41,,
T,2022-12-09 13:05:30,40.96085000,-8.63494000,1.60,10.300,,4.603,178,26,41,,
T,2022-12-09 13:05:31,40.96080667,-8.63494167,1.60,9.900,,6.011,181,26,41,,
T,2022-12-09 13:05:32,40.96075000,-8.63494333,1.60,9.800,,6.900,180,24,41,,
T,2022-12-09 13:05:33,40.96068000,-8.63494000,1.60,9.800,,8.313,176,25,41,,
T,2022-12-09 13:05:34,40.96059500,-8.63492833,1.60,10.100,,9.702,174,25,41,,
T,2022-12-09 13:05:35,40.96050167,-8.63491500,1.60,10.000,,10.620,174,25,41,,
T,2022-12-09 13:05:36,40.96040500,-8.63489667,1.70,9.800,,10.918,173,25,41,,
T,2022-12-09 13:05:37,40.96030500,-8.63488333,1.70,9.500,,11.268,175,24,41,,
T,2022-12-09 13:05:38,40.96020167,-8.63487500,1.70,9.300,,11.674,178,24,41,,
T,2022-12-09 13:05:39,40.96009667,-8.63487000,1.60,9.300,,11.684,178,24,41,,
T,2022-12-09 13:05:40,40.95999167,-8.63486667,1.60,9.200,,11.268,177,24,41,,
T,2022-12-09 13:05:41,40.95989667,-8.63486000,1.60,9.100,,9.793,175,24,41,,
T,2022-12-09 13:05:42,40.95981833,-8.63485167,1.60,8.800,,8.314,175,23,41,,
T,2022-12-09 13:05:43,40.95976000,-8.63484000,1.70,8.700,,6.079,172,23,41,,
T,2022-12-09 13:05:44,40.95971000,-8.63482000,1.70,9.100,,5.406,157,24,41,,
T,2022-12-09 13:05:45,40.95966833,-8.63478333,1.70,9.200,,5.389,136,24,41,,
T,2022-12-09 13:05:46,40.95965000,-8.63473333,1.70,9.000,,4.216,111,23,41,,
T,2022-12-09 13:05:47,40.95964333,-8.63469333,1.80,9.000,,2.861,104,24,41,,
T,2022-12-09 13:05:48,40.95964500,-8.63466500,1.80,8.900,,2.450,87,24,41,,
T,2022-12-09 13:05:49,40.95964833,-8.63463167,1.80,9.200,,3.245,84,25,41,,
T,2022-12-09 13:05:50,40.95965500,-8.63458667,1.70,9.500,,4.426,86,25,41,,
T,2022-12-09 13:05:51,40.95966167,-8.63452333,1.70,10.100,,5.646,88,25,41,,
T,2022-12-09 13:05:52,40.95967000,-8.63444500,1.60,11.500,,6.135,87,26,41,,
T,2022-12-09 13:05:53,40.95967667,-8.63436000,1.60,12.700,,7.250,87,26,41,,
T,2022-12-09 13:05:54,40.95967833,-8.63426333,1.50,13.200,,8.687,89,24,41,,
T,2022-12-09 13:05:55,40.95968000,-8.63415167,1.50,13.500,,9.102,88,24,41,,
T,2022-12-09 13:05:56,40.95968167,-8.63403500,1.50,14.100,,9.607,89,21,41,,
T,2022-12-09 13:05:57,40.95968167,-8.63391000,1.50,14.400,,10.575,88,21,41,,
T,2022-12-09 13:05:58,40.95968500,-8.63377500,1.50,14.800,,11.216,88,21,41,,
T,2022-12-09 13:05:59,40.95969000,-8.63363000,1.50,14.800,,12.281,87,22,41,,
T,2022-12-09 13:06:00,40.95969500,-8.63347500,1.50,15.200,,12.926,86,21,41,,
T,2022-12-09 13:06:01,40.95970333,-8.63332000,1.50,15.700,,13.015,86,21,41,,
T,2022-12-09 13:06:02,40.95971000,-8.63316500,1.50,16.000,,13.040,87,21,41,,
T,2022-12-09 13:06:03,40.95971833,-8.63300500,1.40,16.100,,13.267,86,22,41,,
T,2022-12-09 13:06:04,40.95972500,-8.63284167,1.40,16.300,,13.733,87,23,41,,
